Not-Hope,Inta kate matte matte krlbeku ansatte super
Not-Hope,Hugi guru badethawke
Not-Hope,Rashmika ge Burnol Thankodrappa!!
Not-Hope,Shankar Patil ಸುಪ್ಪರ
Not-Hope,@Dr Vishnu Dada- Appu
Not-Hope,Yenu tappilla guru ...
Not-Hope,Dislike madiroro rashmika fans irbeku
Not-Hope,Dia is wonderful movie. Innu ee fimina hangover alle idini. Idu highest  IMDB rated kannada movie  9.4
Not-Hope,Pakka new year party song.... m/
Not-Hope,ನನ್ನ ಈ ಕಾಮೆಂಟ್ ಕನ್ನಡ  ಚಲನಚಿತ್ರ ನಟ ನಟಿಯರು
Hope,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ
Not-Hope,SORRY FOR KANNAD INDUSTRY...I      BUT ಇಂತಹ ಫಿಲ್ಮ್ ಬಗ್ಗೆ ಯಾವುದೆ ಮಾಹಿತಿ ಇರಲಿಲ್ಲ ...ಈಗ ಮತ್ತೆ ಎಲ್ಲಾ ಟಾಕಿಸಲ್ಲಿ ಹಾಕಿಸಿ...ಸರ್...ಆದರೆ ಈಗ ಮತ್ತೆ  ಬಂದರೆ..ಟಾಕಿಸಲ್ಲಿ ಫುಲ್ ಆಗಿರುತ್ತದೆ ...
Not-Hope,ಶಾಸನ ವಿಧಿಸಿದ ಎಚ್ಚರಿಕೆ nಈ ಹಾಡು ನಿಮ್ಮ ಡೇಟಾ ಗೆ ಹಾನಿಕಾರಕ
Hope,ಭಾರತದ ಗಡಿಗೆ ಅವನನ್ನೇ ಕಳುಹಿಸಿ ನಿಲ್ಲಿಸಲಿ ಇದ್ದವನು
Hope,ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನ ಶುಭವಾಗಲಿ
Hope,Super guru
Not-Hope,@Usha Rao ಇವರಿಗೆ ಇದೆಲ್ಲ ಹೇಳಿದ್ರೆ ಅವರು ನಂಬೋಲ್ಲ......ಅವರದು ಒಂದು ರೀತಿ ಆಜ್ನ್ಯಾನ......ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸಂಬಂಧವಿಲ್ಲ
Hope,o my god wt a acting bro really my eyes are wet nice concept keep it up bro now a days alli avarage thumba bejar ago tara madatara jana naavu tilidu antavaru agi hag madidre hege heli naavu avara baavanegalige spandisibeku alva avaralli kuda thumba jana achive madidara tamil naadu alli oblu i.p.s agidale enu bala jana ne edara pls frds avarage naavu supportive agirbeku alva nice concept anna
Hope,U r great sir
Not-Hope,Mostly rashmika mandanna fans erbeku🤣
Not-Hope,Nirikshegu miri cinima agide my favorite movie love you
Hope,Yaradru sahitya haktara anta nodtidd
Not-Hope,Mutturaj Melageri ಸೂಪರ್
Hope,First time kannada movie film video song full bittirodu
Hope,Intha olle video nu dislike madiroru yentha kachada nanmaklirbeku🤦🤦🤦🤦
Not-Hope,@Creative Kannadiga eno ond bid guru..nin maat keltirode chandaa....Aden matadtiya brochindi bro keep roasting
Not-Hope,ವೀ ವಾಂಟ್ ತಿಸ್ ಮೂವೀಸ್
Not-Hope,Yav game guru edu
Hope,Great sir nivu
Not-Hope,ಗೆಲ್ಲುತ್ತೆ ಡೋಂಟ್ ವೆರಿ
Not-Hope,Ragad song  ....
Not-Hope,Sudeep du olle movies innu idave.nnPhantom
Hope,ಕನ್ನಡದಲ್ಲಿ  ಬರಹವನ್ನು  ಬರೆದ  ನಿಮಗೆ  ನನ್ನ  ಅಭಿನಂದನೆಗಳು ಸಿನಿಮಾ  ಚೆನ್ನಾಗಿದೆ   ನನ್ನ  ಹೃದಯಕ್ಕೆ  ಮನಸ್ಸಿಗೇ ಮುಟ್ಟಿದ ಸಿನಿಮಾ ಇದು... ಒಳ್ಳೆಯದಾಗಲಿ
Hope,U r great sir. ಶ್ರಮ ಜೀವಿ
Hope,ನೀವು ಹೇಳಿದ ಕಥೆ ಚನ್ನಾಗಿಯೇ ಇದೆ ಆದ್ರೆ ಅಶ್ವತ್ತಾಮ ಬದುಕಿರೋದು ಸುಳ್ಳು
Hope,Idu charitre shrustisuva avatara idu charitre shrushtisuva cinema ASN
Hope,Ee time ge wait madtidde
Not-Hope,All hands up nAnd one like
Not-Hope,Narayana. Character. Yariga  istha. Illi. Like. Madi
Not-Hope,Nin yavag nodidde baggi avn potential. Muchole
Not-Hope,Mast movie
Not-Hope,@Ŕävîñđŕå_02_GøWđřú  ನಿಮ್ಮ ಅಮ್ಮನ್ ತುಲ್ಲು
Hope,ಈ ಹಾಡು ತುಂಬಾ ಇಷ್ಟವಾಯ್ತು
Hope,ಲಾಕ್ ಡೌನ್ ನಲ್ಲಿ ಈ ಹಾಡನ್ನು ಕೇಳಿ ದವರೂ ಲೈಕ್ ಮಾಡಿ
Not-Hope,Super ri boos
Not-Hope,@TROLL MONSTER_KANNADA guru Bari mathadak aste yav sule makligu munde bandu mathadastu dhum Ella BOSS always King
Not-Hope,ನಮ್ಮದೇಶ ದ ಕತೆ ಇಷ್ಟೆ ಕಣೋಪ್ಪ
Hope,Swabhimana da baduku sartaka
Not-Hope,Dis like hakorge ond math hekok esta padthini nimig esta agilla andre sumne erbod alva yak sumne dislike hakthira ... Ade bere bhashed est kacchada edru like hakthira alva nimmanthor erodrindane Kannada movies ast hesru madtha illa ...
Hope,nimm mathu  saryagi heliddira super
Not-Hope,@Vinay kumar sari nim balegara yake shaata ella kithu thalege anstondidane shaatukobba-3_The power of shaata promotion ga🤣🤪
Not-Hope,D ಬಾಸ್ ಅಭಿಮಾನಿ ಕಡಿಂದ ಆಲ್ ದ ಬೆಸ್ಟ್
Not-Hope,Bari olu nan makla
Not-Hope,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
Not-Hope,Le gandunTikamucchunnEe Tara worst song nin kayalli madakke agutta
Not-Hope,By mistakly nimma ondu video nodi subscribe agbitte  keep it up bro
Hope,ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಸರ್ ನಾನು ಸನ್ನಾವಿದ್ಧಾಗ ಕೆಳಿದ ನಾಟಕ ನನ್ನ ಬಾಲ್ಯದ ನೆನಪುಗಳು ಮರುಕಳಿಸಿದವು🥰🥰
Not-Hope,Good massage anna super
Not-Hope,rakshith naik ಅವ್ರು ಮೋದಿ ಭಕ್ತರು
Not-Hope,Boring agidre All India Trending agtirlilla🤣
Hope,ಇದು ಖಂಡಿತ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ
Not-Hope,basava basavaraj mind your words. Maathina mele niga irli.
Not-Hope,tik tok rip bro
Not-Hope,@Vishal Shetty lo beedhi soole magane....nin prakarane belsbeku annodidre nim kade maado yakshagaana
Not-Hope,@Vinay Vn kannadalli helu bro gothagalla english  idu remake a?
Hope,Edellaa aagabeku andre PRAJAKIYA aadalitakke barabeku
Not-Hope,Tiktok ದೂಳು ivathinda
Not-Hope,This year watch ondu shikariya kathe
Hope,Ishta Aytu shetre
Hope,ನಾನು ಈ ಸಿನಿಮಾ ನೋಡಿದೆ.nನೀವೂ ನೋಡಿ.nಇಲ್ಲದಿದ್ದರೆ ಕನ್ನಡದ ಒಂದು ಒಳ್ಳೆಯ ಚಿತ್ರವನ್ನು ಮಿಸ್ ಮಾಡಿಕೊಂಡಂತೆ.nಇದೇ ಚಿತ್ರ ಬೇರೆ ಭಾಷೆಯಲ್ಲಿ ಬಂದಿದ್ದರೆ ಅದರ ಕಥೇನೆ ಬೇರೆ ಇರ್ತಿತ್ತು.
Not-Hope,Patrada parichaya iroru...e bandukigide Hale hesaru....is he mentioning ULIDAVARU KANDNTE????
Not-Hope,Gaali maathina bajaaru sudhi madide sumaaru.
Hope,Creative  ಕಿಲಾಡಿ ಗುರು ನೀನು ಸೂಪರ್
Not-Hope,Reginald Kelly kithkabeku bandu edthine nandu
